Score,Flips left,Heads,Tails,Action,Reward
  0, 95, 2, 3, 0, -1
  0, 94, 3, 3, 0, -1
  0, 93, 3, 4, 0, -1
  0, 93, 0, 0, 2,  0
  1,108, 0, 0, 0, 15
  1,107, 0, 1, 0, -1
  1,106, 1, 1, 0, -1
  1,105, 2, 1, 0, -1
  1,104, 3, 1, 0, -1
  1,103, 3, 2, 0, -1
  1,102, 4, 2, 0, -1
  1,101, 4, 3, 0, -1
  1,100, 5, 3, 0, -1
  1, 99, 6, 3, 0, -1
  1, 98, 7, 3, 0, -1
  1, 97, 8, 3, 0, -1
  1,111, 0, 0, 3, 14
  2,112, 0, 0, 0,  1
  2,111, 1, 0, 0, -1
  2,110, 1, 1, 0, -1
  2,109, 2, 1, 0, -1
  2,108, 2, 2, 0, -1
  2,107, 3, 2, 0, -1
  2,106, 3, 3, 0, -1
  2,105, 4, 3, 0, -1
  2,104, 5, 3, 0, -1
  2,103, 5, 4, 0, -1
  2,102, 5, 5, 0, -1
  2, 72, 0, 0, 2,-30
  2, 72, 0, 0, 0,  0
  2, 71, 1, 0, 0, -1
  2, 70, 1, 1, 0, -1
  2, 69, 1, 2, 0, -1
  2, 68, 2, 2, 0, -1
  2, 67, 3, 2, 0, -1
  2, 66, 4, 2, 0, -1
  2, 65, 4, 3, 0, -1
  2, 64, 4, 4, 0, -1
  2, 63, 5, 4, 0, -1
  2, 62, 5, 5, 0, -1
  2, 76, 0, 0, 2, 14
  3, 77, 0, 0, 0,  1
  3, 76, 1, 0, 0, -1
  3, 75, 2, 0, 0, -1
  3, 74, 3, 0, 0, -1
  3, 88, 0, 0, 3, 14
  4, 89, 0, 0, 0,  1
  4, 88, 1, 0, 0, -1
  4, 87, 2, 0, 0, -1
  4, 86, 3, 0, 0, -1
  4,100, 0, 0, 3, 14
  5,101, 0, 0, 0,  1
  5,100, 0, 1, 0, -1
  5, 99, 0, 2, 0, -1
  5,113, 0, 0, 2, 14
  6,113, 1, 0, 0,  0
  6,112, 2, 0, 0, -1
  6,111, 3, 0, 0, -1
  6, 81, 0, 0, 3,-30
  6, 81, 0, 0, 0,  0
  6, 80, 1, 0, 0, -1
  6, 79, 2, 0, 0, -1
  6, 78, 3, 0, 0, -1
  6, 92, 0, 0, 3, 14
  7, 93, 0, 0, 0,  1
  7, 92, 0, 1, 0, -1
  7, 91, 1, 1, 0, -1
  7, 90, 2, 1, 0, -1
  7, 89, 2, 2, 0, -1
  7, 88, 3, 2, 0, -1
  7, 87, 3, 3, 0, -1
  7, 86, 4, 3, 0, -1
  7, 85, 4, 4, 0, -1
  7, 84, 5, 4, 0, -1
  7, 83, 6, 4, 0, -1
  7, 82, 7, 4, 0, -1
  7, 81, 8, 4, 0, -1
  7, 80, 9, 4, 0, -1
  7, 79,10, 4, 0, -1
  7, 49, 0, 0, 3,-30
  7, 49, 0, 0, 0,  0
  7, 48, 0, 1, 0, -1
  7, 47, 0, 2, 0, -1
  7, 17, 0, 0, 2,-30
  7, 17, 0, 0, 0,  0
  7, 16, 1, 0, 0, -1
  7, 15, 2, 0, 0, -1
  7, 14, 3, 0, 0, -1
  8, 29, 0, 0, 3, 15
  8, 28, 1, 0, 0, -1
  8, 27, 2, 0, 0, -1
  8, 26, 3, 0, 0, -1
  8,  4, 0, 0, 3,-22
  0, 99, 1, 0, 0, -1
  0, 98, 2, 0, 0, -1
  0, 97, 3, 0, 0, -1
  1,112, 0, 0, 3, 15
  1,112, 0, 0, 0,  0
  1,111, 1, 0, 0, -1
  1,110, 2, 0, 0, -1
  1,109, 2, 1, 0, -1
