Score,Flips left,Heads,Tails,Action,Reward
  2,101, 6, 2, 0, -1
  2,100, 6, 3, 0, -1
  2, 99, 7, 3, 0, -1
  2, 98, 8, 3, 0, -1
  2, 97, 9, 3, 0, -1
  2, 67, 0, 0, 3,-30
  2, 62, 5, 0, 1, -5
  3, 77, 0, 0, 3, 15
  3, 72, 3, 2, 1, -5
  3, 71, 4, 2, 0, -1
  3, 70, 4, 3, 0, -1
  3, 69, 5, 3, 0, -1
  3, 68, 6, 3, 0, -1
  3, 67, 7, 3, 0, -1
  3, 66, 7, 4, 0, -1
  3, 65, 7, 5, 0, -1
  3, 64, 8, 5, 0, -1
  3, 63, 9, 5, 0, -1
  3, 62,10, 5, 0, -1
  3, 61,10, 6, 0, -1
  3, 60,10, 7, 0, -1
  3, 59,10, 8, 0, -1
  3, 58,10, 9, 0, -1
  3, 28, 0, 0, 2,-30
  3, 27, 1, 0, 0, -1
  3, 26, 2, 0, 0, -1
  3, 25, 3, 0, 0, -1
  3, 24, 3, 1, 0, -1
  3, 23, 4, 1, 0, -1
  3, 22, 5, 1, 0, -1
  4, 37, 0, 0, 3, 15
  4, 36, 1, 0, 0, -1
  4, 35, 2, 0, 0, -1
  4, 34, 3, 0, 0, -1
  4, 33, 4, 0, 0, -1
  5, 48, 0, 0, 3, 15
  5, 47, 1, 0, 0, -1
  5, 46, 1, 1, 0, -1
  5, 45, 2, 1, 0, -1
  5, 44, 3, 1, 0, -1
  5, 43, 4, 1, 0, -1
  5, 42, 5, 1, 0, -1
  6, 57, 0, 0, 3, 15
  6, 52, 2, 3, 1, -5
  6, 51, 2, 4, 0, -1
  6, 21, 0, 0, 2,-30
  6, 20, 1, 0, 0, -1
  6, 19, 1, 1, 0, -1
  6, 18, 2, 1, 0, -1
  6, 17, 2, 2, 0, -1
  6, 16, 2, 3, 0, -1
  6, 15, 2, 4, 0, -1
  6,-15, 0, 0, 2,-30
  0, 95, 4, 1, 1, -5
  0, 94, 5, 1, 0, -1
  1,109, 0, 0, 3, 15
  1,104, 2, 3, 1, -5
  1,103, 3, 3, 0, -1
  1,102, 3, 4, 0, -1
  2,117, 0, 0, 2, 15
  2,112, 2, 3, 1, -5
  2,111, 3, 3, 0, -1
  2,110, 4, 3, 0, -1
  2,109, 5, 3, 0, -1
  2,108, 5, 4, 0, -1
  2,107, 5, 5, 0, -1
  2,106, 6, 5, 0, -1
  2,105, 6, 6, 0, -1
  3,120, 0, 0, 2, 15
  3,115, 4, 1, 1, -5
  3,114, 5, 1, 0, -1
  3, 84, 0, 0, 3,-30
  3, 79, 4, 1, 1, -5
  3, 78, 4, 2, 0, -1
  3, 77, 5, 2, 0, -1
  3, 76, 6, 2, 0, -1
  3, 75, 6, 3, 0, -1
  3, 74, 7, 3, 0, -1
  3, 73, 8, 3, 0, -1
  3, 72, 9, 3, 0, -1
  4, 87, 0, 0, 3, 15
  4, 82, 2, 3, 1, -5
  4, 81, 3, 3, 0, -1
  4, 80, 3, 4, 0, -1
