Score, Flips left, Heads, Tails, Difference
15, 19, 7, 4, 3
15, 11, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
15, None, 0, 0, 0
